,Customer ID,Gender,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date,Recency,Frequency,Monetary,RFM_Score,Segment,Order Month,Order Year
0,CUST0268,Male,North,49.0,Monitor,Electronics,300.0,5,1500,13.31,Returned,2023-12-08,27,5,3540,453,Loyal Customers,2023-12,2023
1,CUST0046,Male,West,22.0,Headphones,Accessories,100.0,2,200,6.93,In Transit,2023-04-09,19,5,7760,545,Champions,2023-04,2023
2,CUST0169,Female,South,54.0,Monitor,Electronics,300.0,1,300,11.31,Returned,2023-08-28,129,1,300,211,Lost,2023-08,2023
3,CUST0002,Male,North,23.0,Headphones,Accessories,100.0,5,500,12.22,Delivered,2023-01-18,116,3,1550,222,Lost,2023-01,2023
4,CUST0173,Female,South,49.0,Laptop,Electronics,1500.0,3,4500,5.4,Delivered,2023-01-19,13,4,9250,545,Champions,2023-01,2023
5,CUST0147,Male,North,64.0,Smartwatch,Wearables,200.0,2,400,11.26,In Transit,2023-01-11,358,1,400,111,Lost,2023-01,2023
6,CUST0262,Male,East,27.0,Smartwatch,Wearables,200.0,1,200,18.38,In Transit,2023-10-23,73,2,320,321,Needs Attention,2023-10,2023
7,CUST0159,Female,South,18.0,Keyboard,Accessories,50.0,2,100,15.08,Returned,2023-06-15,70,6,6650,354,Loyal Customers,2023-06,2023
8,CUST0046,Female,East,22.0,Mouse,Accessories,30.0,1,30,8.22,Returned,2023-02-25,19,5,7760,545,Champions,2023-02,2023
9,CUST0023,Male,West,29.0,Headphones,Accessories,100.0,3,300,10.7,Delivered,2023-04-23,64,5,10450,345,Loyal Customers,2023-04,2023
10,CUST0201,Female,East,49.0,Headphones,Accessories,100.0,2,200,9.8,Returned,2023-06-01,1,8,8460,555,Champions,2023-06,2023
11,CUST0283,Female,West,67.0,Mouse,Accessories,30.0,3,90,5.65,In Transit,2023-09-13,57,4,5840,344,Loyal Customers,2023-09,2023
12,CUST0199,Female,West,41.0,Keyboard,Accessories,50.0,5,250,7.13,Delivered,2023-02-17,1,6,6340,554,Champions,2023-02,2023
13,CUST0039,Male,South,60.0,Keyboard,Accessories,50.0,4,200,10.91,Returned,2023-12-10,25,4,3500,433,Loyal Customers,2023-12,2023
14,CUST0276,Male,West,66.0,Mouse,Accessories,30.0,1,30,11.36,In Transit,2023-06-29,34,7,9230,455,Champions,2023-06,2023
15,CUST0143,Female,Unknown,36.0,Smartwatch,Wearables,200.0,3,600,7.89,Delivered,2023-07-14,174,1,600,111,Lost,2023-07,2023
16,CUST0139,Male,North,57.0,Laptop,Electronics,1500.0,4,6000,10.92,In Transit,2023-05-13,4,7,18350,555,Champions,2023-05,2023
17,CUST0210,Male,South,30.0,Smartphone,Electronics,800.0,2,1600,11.44,Returned,2023-06-09,4,3,3400,533,Loyal Customers,2023-06,2023
18,CUST0293,Female,East,32.0,Smartwatch,Wearables,200.0,5,1000,7.16,In Transit,2023-06-21,48,5,14200,455,Champions,2023-06,2023
19,CUST0049,Female,West,59.0,Monitor,Electronics,300.0,4,1200,17.37,In Transit,2023-11-26,39,2,2700,413,New/Promising,2023-11,2023
20,CUST0283,Female,East,67.0,Smartphone,Electronics,800.0,5,4000,12.17,Delivered,2023-11-08,57,4,5840,344,Loyal Customers,2023-11,2023
21,CUST0196,Female,South,37.0,Mouse,Accessories,30.0,3,90,19.41,Returned,2023-12-27,8,7,6590,554,Champions,2023-12,2023
22,CUST0050,Male,North,49.0,Mouse,Accessories,30.0,3,90,6.97,Returned,2023-06-06,167,2,1590,112,Lost,2023-06,2023
23,CUST0007,Female,East,52.0,Headphones,Accessories,100.0,2,200,12.0,In Transit,2023-10-28,68,3,1100,322,Needs Attention,2023-10,2023
24,CUST0242,Male,North,58.0,Smartphone,Electronics,800.0,4,3200,18.11,Unknown,2023-12-30,5,3,4800,533,Loyal Customers,2023-12,2023
25,CUST0042,Female,South,57.0,Keyboard,Accessories,50.0,1,50,9.6,Delivered,2023-12-04,31,3,2650,423,New/Promising,2023-12,2023
26,CUST0264,Male,East,59.0,Smartphone,Electronics,800.0,2,1600,11.59,In Transit,2023-02-01,9,6,6150,554,Champions,2023-02,2023
27,CUST0053,Female,North,25.0,Smartwatch,Wearables,200.0,1,200,14.9,Delivered,2023-08-14,45,5,7550,444,Champions,2023-08,2023
28,CUST0154,Female,East,31.0,Smartphone,Electronics,800.0,1,800,19.22,In Transit,2023-12-07,28,4,1580,442,Loyal Customers,2023-12,2023
29,CUST0190,Male,North,28.0,Keyboard,Accessories,50.0,4,200,15.31,Delivered,2023-06-28,190,1,200,111,Lost,2023-06,2023
30,CUST0038,Female,East,57.0,Monitor,Electronics,300.0,2,600,12.38,Returned,2023-11-17,17,5,3050,543,Loyal Customers,2023-11,2023
31,CUST0288,Female,South,49.0,Laptop,Electronics,1500.0,4,6000,12.91,Delivered,2023-01-25,184,5,9750,155,At Risk,2023-01,2023
32,CUST0124,Female,South,53.0,Monitor,Electronics,300.0,2,600,18.38,In Transit,2023-09-05,121,6,6000,254,At Risk,2023-09,2023
33,CUST0298,Female,South,58.0,Headphones,Accessories,100.0,5,500,7.41,Delivered,2023-09-17,54,4,5420,344,Loyal Customers,2023-09,2023
34,CUST0211,Female,South,35.0,Mouse,Accessories,30.0,3,90,11.42,Delivered,2023-12-25,10,4,5640,544,Champions,2023-12,2023
35,CUST0060,Male,North,41.0,Laptop,Electronics,1500.0,4,6000,7.13,Delivered,2023-01-14,192,5,6900,144,At Risk,2023-01,2023
36,CUST0284,Female,West,64.0,Monitor,Electronics,300.0,1,300,6.55,Returned,2023-08-01,156,5,2550,153,At Risk,2023-08,2023
37,CUST0282,Male,North,49.0,Smartphone,Electronics,800.0,2,1600,9.72,Delivered,2023-02-12,36,4,10600,445,Champions,2023-02,2023
38,CUST0205,Female,South,43.0,Monitor,Electronics,300.0,2,600,18.27,In Transit,2023-05-18,87,2,700,221,Lost,2023-05,2023
39,CUST0222,Female,Unknown,61.0,Smartphone,Electronics,800.0,2,1600,6.01,Returned,2023-10-03,52,2,1660,322,Needs Attention,2023-10,2023
40,CUST0299,Male,East,58.0,Keyboard,Accessories,50.0,2,100,9.57,Returned,2023-08-30,1,7,10060,555,Champions,2023-08,2023
41,CUST0064,Male,West,61.0,Monitor,Electronics,300.0,1,300,13.82,Returned,2023-09-15,68,7,14600,355,Loyal Customers,2023-09,2023
42,CUST0073,Male,East,19.0,Keyboard,Accessories,50.0,4,200,5.32,Delivered,2023-02-14,47,3,2300,432,Loyal Customers,2023-02,2023
43,CUST0154,Male,North,31.0,Keyboard,Accessories,50.0,3,150,7.46,Delivered,2023-02-27,28,4,1580,442,Loyal Customers,2023-02,2023
44,CUST0081,Male,North,38.0,Monitor,Electronics,300.0,1,300,17.22,Returned,2023-08-13,130,5,4200,243,At Risk,2023-08,2023
45,CUST0247,Male,East,44.0,Headphones,Accessories,100.0,2,200,8.15,In Transit,2023-05-09,156,4,5600,144,At Risk,2023-05,2023
46,CUST0130,Male,East,68.0,Monitor,Electronics,300.0,2,600,9.56,Unknown,2023-12-23,12,5,2650,553,Loyal Customers,2023-12,2023
47,CUST0178,Male,West,44.0,Smartwatch,Wearables,200.0,3,600,18.09,In Transit,2023-10-28,68,4,11100,345,Loyal Customers,2023-10,2023
48,CUST0131,Female,West,67.0,Laptop,Electronics,1500.0,4,6000,7.01,Delivered,2023-09-01,48,8,21180,455,Champions,2023-09,2023
49,CUST0070,Male,West,23.0,Monitor,Electronics,300.0,3,900,12.58,Returned,2023-04-16,14,3,9200,525,New/Promising,2023-04,2023
50,CUST0122,Male,West,68.0,Headphones,Accessories,100.0,2,200,13.49,In Transit,2023-12-13,19,6,6100,554,Champions,2023-12,2023
51,CUST0168,Female,East,42.0,Monitor,Electronics,300.0,4,1200,18.15,In Transit,2023-03-27,49,5,3250,453,Loyal Customers,2023-03,2023
52,CUST0176,Male,South,51.0,Laptop,Electronics,1500.0,2,3000,7.43,Delivered,2023-11-16,49,5,12400,455,Champions,2023-11,2023
53,CUST0064,Female,West,61.0,Laptop,Electronics,1500.0,2,3000,5.42,Returned,2023-06-14,68,7,14600,355,Loyal Customers,2023-06,2023
54,CUST0125,Female,South,46.0,Smartphone,Electronics,800.0,5,4000,10.62,Returned,2023-01-26,1,4,8720,545,Champions,2023-01,2023
55,CUST0165,Female,West,49.0,Keyboard,Accessories,50.0,4,200,19.72,Unknown,2023-12-25,10,2,250,521,New/Promising,2023-12,2023
56,CUST0057,Male,North,62.0,Keyboard,Accessories,50.0,4,200,12.79,Delivered,2023-09-29,1,2,450,511,New/Promising,2023-09,2023
57,CUST0207,Male,South,54.0,Laptop,Electronics,1500.0,1,1500,5.16,Delivered,2023-03-14,1,2,1700,522,New/Promising,2023-03,2023
58,CUST0167,Female,North,67.0,Headphones,Accessories,100.0,2,200,11.65,Returned,2023-12-14,21,2,800,521,New/Promising,2023-12,2023
59,CUST0006,Male,South,52.0,Laptop,Electronics,1500.0,5,7500,19.69,In Transit,2023-09-17,109,6,10400,255,At Risk,2023-09,2023
60,CUST0041,Male,East,64.0,Smartphone,Electronics,800.0,4,3200,17.27,In Transit,2023-08-08,94,2,6400,214,Needs Attention,2023-08,2023
61,CUST0112,Male,North,33.0,Monitor,Electronics,300.0,4,1200,14.88,Delivered,2023-04-12,27,4,9800,445,Champions,2023-04,2023
62,CUST0244,Female,West,24.0,Headphones,Accessories,100.0,3,300,8.49,In Transit,2023-02-21,317,1,300,111,Lost,2023-02,2023
63,CUST0218,Male,East,36.0,Headphones,Accessories,100.0,2,200,7.71,Returned,2023-11-03,62,5,9150,355,Loyal Customers,2023-11,2023
64,CUST0073,Male,North,19.0,Monitor,Electronics,300.0,5,1500,13.7,In Transit,2023-01-16,47,3,2300,432,Loyal Customers,2023-01,2023
